id,question
0,What is (are) Glaucoma?
1,What causes Glaucoma?
2,What are the symptoms of Glaucoma?
3,What are the treatments for Glaucoma?
4,Who is at risk for Glaucoma?
5,How to prevent Glaucoma?
6,what research (or clinical trials) is being done for Glaucoma?
7,What is (are) High Blood Pressure?
8,What causes High Blood Pressure?
9,Who is at risk for High Blood Pressure?
10,How to prevent High Blood Pressure?
11,What are the symptoms of High Blood Pressure?
12,How to diagnose High Blood Pressure?
13,What are the treatments for High Blood Pressure?
14,What is (are) Paget's Disease of Bone?
15,What are the treatments for Paget's Disease of Bone?
16,What are the complications of Paget's Disease of Bone?
17,What causes Urinary Tract Infections?
18,What are the symptoms of Urinary Tract Infections?
19,Who is at risk for Urinary Tract Infections?
20,What are the treatments for Urinary Tract Infections?
21,What is (are) Alcohol Use and Older Adults?
22,What are the treatments for Alcohol Use and Older Adults?
23,Where to find support for people with Alcohol Use and Older Adults?
24,What is (are) Osteoarthritis?
25,What causes Osteoarthritis?
26,What is (are) Problems with Taste?
27,What causes Problems with Taste?
28,What are the symptoms of Problems with Taste?
29,How to prevent Problems with Taste?
30,How to diagnose Problems with Taste?
31,What are the symptoms of Anxiety Disorders?
32,How to diagnose Anxiety Disorders?
33,what research (or clinical trials) is being done for Anxiety Disorders?
34,Who is at risk for Anxiety Disorders?
35,What are the symptoms of Diabetes?
36,What are the treatments for Diabetes?
37,What causes Diabetes?
38,What to do for Medicare and Continuing Care?
39,What are the complications of Knee Replacement?
40,Who is at risk for Knee Replacement?
41,How to prevent Balance Problems?
42,What are the symptoms of Balance Problems?
43,What are the treatments for Balance Problems?
44,How many people are affected by Balance Problems?
45,What is (are) Quitting Smoking for Older Adults?
46,What is (are) Prostate Cancer?
47,What are the treatments for Prostate Cancer?
48,What causes Prostate Cancer?
49,How to diagnose Prostate Cancer?
50,What is (are) Dry Mouth?
51,What are the symptoms of Dry Mouth?
52,Who is at risk for Osteoporosis?
53,What are the symptoms of Osteoporosis?
54,How to prevent Osteoporosis?
55,What is (are) Kidney Disease?
56,How to prevent Kidney Disease?
57,What are the symptoms of Kidney Disease?
58,What are the treatments for Kidney Disease?
59,what research (or clinical trials) is being done for Kidney Disease?
60,What causes Alzheimer's Disease?
61,What are the symptoms of Alzheimer's Disease?
62,How to prevent Alzheimer's Disease?
63,What are the treatments for Alzheimer's Disease?
64,How to diagnose Alzheimer's Disease?
65,What is (are) Rheumatoid Arthritis?
66,What are the symptoms of Rheumatoid Arthritis?
67,What are the treatments for Rheumatoid Arthritis?
68,what research (or clinical trials) is being done for Rheumatoid Arthritis?
69,How to diagnose Rheumatoid Arthritis?
70,How to prevent Hearing Loss?
71,What are the symptoms of Hearing Loss?
72,What are the treatments for Hearing Loss?
73,How many people are affected by Hearing Loss?
74,What causes Hearing Loss?
75,What are the symptoms of Low Vision?
76,Who is at risk for Low Vision?
77,What is (are) COPD?
78,How to prevent COPD?
79,What are the symptoms of COPD?
80,What is (are) Age-related Macular Degeneration?
81,Who is at risk for Age-related Macular Degeneration?
82,What are the symptoms of Age-related Macular Degeneration?
83,What causes Age-related Macular Degeneration?
84,How to prevent Age-related Macular Degeneration?
85,What is (are) Diabetic Retinopathy?
86,What causes Diabetic Retinopathy?
87,What are the symptoms of Diabetic Retinopathy?
88,What to do for Diabetic Retinopathy?
89,What is (are) Depression?
90,What causes Depression?
91,What are the symptoms of Depression?
92,what research (or clinical trials) is being done for Depression?
93,Who is at risk for Depression?
94,What causes Problems with Smell?
95,What are the symptoms of Problems with Smell?
96,What are the treatments for Problems with Smell?
97,How to diagnose Problems with Smell?
98,what research (or clinical trials) is being done for Problems with Smell?
99,What is (are) Breast Cancer?
100,Who is at risk for Breast Cancer?
101,How to diagnose Breast Cancer?
102,What are the treatments for Breast Cancer?
103,what research (or clinical trials) is being done for Breast Cancer?
104,What are the symptoms of Breast Cancer?
105,How to prevent Breast Cancer?
106,What is (are) Colorectal Cancer?
107,Who is at risk for Colorectal Cancer?
108,What are the treatments for Colorectal Cancer?
109,what research (or clinical trials) is being done for Colorectal Cancer?
110,How many people are affected by Colorectal Cancer?
111,How to prevent Colorectal Cancer?
112,What are the symptoms of Parkinson's Disease?
113,What are the treatments for Parkinson's Disease?
114,what research (or clinical trials) is being done for Parkinson's Disease?
115,Who is at risk for Parkinson's Disease?
116,How to diagnose Parkinson's Disease?
117,Who is at risk for Leukemia?
118,What are the symptoms of Leukemia?
119,What are the treatments for Leukemia?
120,How to diagnose Leukemia?
121,What is (are) Lung Cancer?
122,What causes Lung Cancer?
123,What are the symptoms of Lung Cancer?
124,What are the treatments for Lung Cancer?
125,what research (or clinical trials) is being done for Lung Cancer?
126,How to diagnose Lung Cancer?
127,What is (are) Urinary Incontinence?
128,What causes Urinary Incontinence?
129,How to diagnose Urinary Incontinence?
130,What is (are) Stroke?
131,What are the symptoms of Stroke?
132,Who is at risk for Stroke?
